Airport,R²,RMSE,Message
CVG,0.03630337442581566,14.748944772274944,Data processed successfully
CWA,0.12366343745866559,2.8215666262966552,Data processed successfully
CYS,0.39488516796680206,1.762686413943537,Data processed successfully
DAB,0.11513081849696505,4.005311592195207,Data processed successfully
DAL,0.017562029441647198,147.66953131336396,Data processed successfully
DAY,0.04042254769263143,6.653353070645055,Data processed successfully
DBQ,0.3500176016827736,3.121897659528625,Data processed successfully
DCA,0.03522384582349258,46.573686696967876,Data processed successfully
DDC,0.2333040257933917,2.0889765055528855,Data processed successfully
DEC,0.4717047807753596,2.32599101539127,Data processed successfully
DEN,0.04224021620982377,123.57349723989834,Data processed successfully
DFW,0.02667334714769687,163.80915175043847,Data processed successfully
DHN,0.33386065240242047,1.7810015731138493,Data processed successfully
DIK,0.33109035961486055,2.4177656496272477,Data processed successfully
DLG,0.6579941809695473,1.399879087784321,Data processed successfully
DLH,0.04646542629056527,5.259177896117883,Data processed successfully
DRO,0.10402411676500445,3.6829260300189675,Data processed successfully
DRT,0.31611652748689845,1.6375241762021715,Data processed successfully
DSM,0.0371981161206264,5.743504914479593,Data processed successfully
DTW,0.025487227012905733,40.6880619564851,Data processed successfully
DVL,0.5314382907341237,2.261865423473802,Data processed successfully
EAR,0.4013015519385973,2.096236420204427,Data processed successfully
EAT,0.9020727324469185,0.9423247317414735,Data processed successfully
EAU,0.290101698292486,2.404935145269018,Data processed successfully
ECP,0.1001371855730927,6.0098948964938605,Data processed successfully
EFD,,,No weather data available for this airport
EGE,0.1019026425411913,5.31281266722718,Data processed successfully
EKO,0.2641619472749398,1.4124696493297035,Data processed successfully
ELM,0.11891653389742096,3.061094165194467,Data processed successfully
ELP,0.007293637076552173,9.871821754071503,Data processed successfully
ENV,,,No weather data available for this airport
ERI,0.21384872799630372,1.785295201584932,Data processed successfully
ESC,0.28768682161685544,1.6800025340496798,Data processed successfully
EUG,0.10051832564809682,5.447243651163497,Data processed successfully
EVV,0.10064098469935723,3.256329271412505,Data processed successfully
EWN,0.1331968388040885,6.196262876895888,Data processed successfully
EWR,0.0351134257062683,81.2152038991275,Data processed successfully
EYW,0.06748583846542744,7.445528773177373,Data processed successfully
FAI,0.12967112770587996,2.9072805526125087,Data processed successfully
FAR,0.08661059609857469,5.425795447630744,Data processed successfully
FAT,0.026244240737853364,5.387162008285142,Data processed successfully
FAY,0.0942805961829607,4.733072135285285,Data processed successfully
FCA,0.07423702279707267,2.0496462146521055,Data processed successfully
FLG,0.18135446414248502,5.0989174433978945,Data processed successfully
FLL,0.0577713040123059,41.07697783490431,Data processed successfully
FLO,1.0,8.005932084973442e-16,Data processed successfully
FNL,,0.0,Data processed successfully
FNT,0.04227108418045378,2.996682493500039,Data processed successfully
FOD,0.5199384018214103,1.5840208184069937,Data processed successfully
FOE,1.0,6.02100831717496e-14,Data processed successfully
FSD,0.06644907319480997,4.842296618577182,Data processed successfully
FSM,0.15147798807127455,3.331856275073326,Data processed successfully
FWA,0.10694282664230459,4.780404848359935,Data processed successfully
GCC,0.17032220517309293,2.0035324360090807,Data processed successfully
GCK,0.2674136307689783,2.050792277447151,Data processed successfully
GEG,0.03574684784619364,5.566212557146097,Data processed successfully
GFK,0.1711548686043286,3.034161470239744,Data processed successfully
GGG,0.3556521745863882,2.276191541183534,Data processed successfully
GJT,0.050075147537606,4.957338289800696,Data processed successfully
GNV,0.038557738863559954,3.981712094793894,Data processed successfully
GPT,0.12564782567768518,3.2320754106228797,Data processed successfully
GRB,0.049467818906315575,6.07353648024163,Data processed successfully
GRI,0.13390836906386672,1.7237206872908375,Data processed successfully
GRK,0.27157942813109626,6.523488095803224,Data processed successfully
GRR,0.05449269751220409,7.288326008408077,Data processed successfully
GSO,0.07446113084443506,6.768752768669923,Data processed successfully
GSP,0.04645726877589107,6.298159222181744,Data processed successfully
GST,0.33897623637322605,0.9064795340302146,Data processed successfully
GTF,0.09174258931438928,1.5862618533273805,Data processed successfully
GTR,0.4428176955301725,1.4114322652419309,Data processed successfully
GUC,0.05162096340254707,1.8946661150852302,Data processed successfully
